nctId,briefTitle,overallStatus,startDate,firstPosted,completionDate,studyType,phases,enrollment,leadSponsor,sponsorClass,conditions,nLocations,countries
NCT06492486,Glioma Adaptive Radiotherapy With Development of an Artificial Intelligence Workflow,RECRUITING,2026-07-27,2024-07-09,2028-07-30,INTERVENTIONAL,PHASE2,60,Tata Memorial Centre,OTHER,Diffuse Glioma | Glioblastoma | Adaptive Radiotherapy | Artificial Intelligence,1,India
NCT05734820,Computer-aided Detection During Screening Colonoscopy,UNKNOWN,2020-01-11,2023-02-21,2024-09-01,INTERVENTIONAL,NA,312,Instituto Ecuatoriano de Enfermedades Digestivas,OTHER,Colorectal Polyp | Colorectal Cancer | Colorectal Adenoma,1,Ecuador
NCT06426420,Endometriosis and ATR-FTIR Spectroscopy,UNKNOWN,2022-09-15,2024-05-23,2026-04-29,INTERVENTIONAL,NA,600,Federal University of Espirito Santo,OTHER,Endometriosis | Endometriomas,1,Brazil
NCT07391280,"Strategy for EArly Recognition of Cancer, COPD & Heart Failure in the Emergency Department",RECRUITING,2026-05-25,2026-02-05,2027-06,INTERVENTIONAL,NA,17000,NHS Greater Glasgow and Clyde,OTHER,Cancer | Cardiovascular | Respiratory,1,United Kingdom
NCT07809646,Cl-Pharm-IBS-ML-2026,NOT_YET_RECRUITING,2026-09-20,2026-09-09,2027-01-01,OBSERVATIONAL,,500,Tanta University,OTHER,IBS,0,
NCT06384846,Diagnostic Performance of Artificial Intelligence Algorithms in Prediction of Acute Coronary Syndrome Based on White Blood Cell Properties,RECRUITING,2024-02-01,2024-04-25,2026-12-31,OBSERVATIONAL,,3350,RobotDreams GmbH,INDUSTRY,Acute Coronary Syndrome | Angina Pectoris | NSTEMI - Non-ST Segment Elevation MI | STEMI - ST Elevation Myocardial Infarction | Unstable Angina (UA),1,Austria
NCT04213183,Screening and Identifying Hepatobiliary Diseases Via Deep Learning Using Ocular Images,COMPLETED,2018-12-01,2019-12-30,2020-01-31,OBSERVATIONAL,,1789,Sun Yat-sen University,OTHER,Ophthalmology | Artificial Intelligence | Hepatobiliary Disease,1,China
NCT04628962,Raman Analysis of Saliva as Biomarker of COPD,UNKNOWN,2022-02-01,2020-11-16,2025-01-01,OBSERVATIONAL,,250,Fondazione Don Carlo Gnocchi ETS,OTHER,Chronic Obstructive Pulmonary Disease,5,Germany | Italy | Latvia | Spain
NCT05886803,Prediction of the Spontaneous Breathing Test Success Using Biosignal and Biomarker in Critical Care Unit by a Machine Learning Approach,RECRUITING,2023-01-01,2023-06-02,2027-06-25,OBSERVATIONAL,,500,Centre Hospitalier Universitaire de Nice,OTHER,Weaning From Mechanical Ventilation in Care Unit,1,France
NCT07782294,AI-Assisted Novel rbcDNA Detection for Early Gastric Cancer Diagnosis,NOT_YET_RECRUITING,2026-09-01,2026-08-24,2027-12-31,OBSERVATIONAL,,542,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,Gastric Cancer,3,China
NCT04758988,AI Augmented Training for Skin Specialists,COMPLETED,2021-09-15,2021-02-17,2024-04-30,INTERVENTIONAL,NA,1500,Herlev Hospital,OTHER,Melanoma | Skin Cancer,2,Denmark
NCT07202286,Comparing Physician and Artificial Intelligence Chatbot Responses to Frequently Asked Questions From Osteoarthritis Patients,COMPLETED,2024-05-22,2025-10-01,2024-06-05,OBSERVATIONAL,,286,Canisius-Wilhelmina Hospital,OTHER,Osteo Arthritis Knee and Hip | Artificial Intelligence (AI) | Acceptability | Accuracy | Chatbot,1,Netherlands
NCT07502469,Study Comparing the Contribution of G-Eye Combined With CAD-Eye Versus High-definition Colonoscopy With CAD-Eye in the Detection of Colonic Lesions After a Positive Immunological Test in the Context of Organized Colorectal Cancer (BENEFIT),COMPLETED,2024-11-05,2026-03-31,2025-03-01,OBSERVATIONAL,,341,Elsan,OTHER,Colorectal Cancer | Colo-rectal Cancer,1,France
NCT05032651,Use of a Novel Artificial Intelligence Assisted Platform to Assess Optimal Dosing and Treatment Strategy of Erythropoiesis-stimulating Agents (ESA) in Hemodialysis Patients,UNKNOWN,2021-03-19,2021-09-02,2023-12-23,INTERVENTIONAL,NA,130,Kaohsiung Medical University Chung-Ho Memorial Hospital,OTHER,End Stage Renal Disease on Dialysis,1,Taiwan
NCT07080307,Artificial Intelligence (AI)-Based Prediction of Treatment Response in Sciatica Patients Receiving Transforaminal Epidural Steroid Injection,NOT_YET_RECRUITING,2025-07,2025-07-23,2026-10,OBSERVATIONAL,,1500,Marmara University,OTHER,Sciatica | Low Back Pain | Lumbar Spinal Stenosis | Radiculopathy | Lumbar Disc Herniation,1,Turkey (Türkiye)
NCT05068492,A Novel Imaging Based Quantitative Model-aided Detection of Portal Hypertension in Patients With Cirrhosis (CHESS2104),UNKNOWN,2023-12-10,2021-10-05,2025-12-01,OBSERVATIONAL,,2000,Hepatopancreatobiliary Surgery Institute of Gansu Province,OTHER,Portal Hypertension,0,
NCT05035511,A Machine Learning Approach for Predicting tDCS Treatment Outcomes of Adolescents With Autism Spectrum Disorders,RECRUITING,2022-01-05,2021-09-05,2026-12-31,INTERVENTIONAL,NA,90,The Hong Kong Polytechnic University,OTHER,Transcranial Direct Current Stimulation | Autistic Disorders Spectrum | Electroencephalography | Machine Learning,1,Hong Kong
NCT06809634,Large Linguistic Model for Clinical Reaoning of Physical Therapy Students,RECRUITING,2023-09-01,2025-02-05,2026-07-30,INTERVENTIONAL,PHASE2,60,"Neuron, Spain",OTHER,Healthy | Artificial Intelligence (AI),1,Spain
NCT06352164,Efficacy Classification Prediction of the Effects of Acupuncture on Abdominal Pain in Patients With Crohn's Disease,COMPLETED,2015-03-01,2024-04-08,2024-03-31,INTERVENTIONAL,NA,55,"Shanghai Institute of Acupuncture, Moxibustion and Meridian",OTHER,Crohn Disease,1,China
NCT07522164,Acute Myocardial Infarction Clinical Cohort,ACTIVE_NOT_RECRUITING,2025-04-01,2026-04-13,2028-12-31,OBSERVATIONAL,,2000,Shanghai Zhongshan Hospital,OTHER,Acute Myocardial Infarction,1,China
NCT07407998,AI-Based ASA Classification in Preoperative Patients,COMPLETED,2024-12-15,2026-02-12,2026-01-15,OBSERVATIONAL,,128,Bursa City Hospital,OTHER_GOV,Preoperative Risk Assessment | ASA Physical Status Classification,1,Turkey (Türkiye)
NCT04768387,The Effect of AI-based Microbiome Diet on IBS-M Symptoms,COMPLETED,2020-10-05,2021-02-24,2021-01-15,INTERVENTIONAL,NA,25,Gazi University,OTHER,Irritable Bowel Syndrome Mixed,1,Turkey (Türkiye)
NCT07436000,AI-Generated Audiovisual Education and Osteoporosis Knowledge,COMPLETED,2026-01-01,2026-02-27,2026-03-01,INTERVENTIONAL,NA,60,Kars State Hospital,OTHER,Osteoporosis,1,Turkey (Türkiye)
NCT07344207,GUARD-PH: Guided Use of AI-ECG for Risk Detection of PH in Surgery (GUARD-PH Trial),NOT_YET_RECRUITING,2026-01-05,2026-01-15,2027-01-05,INTERVENTIONAL,NA,1380,"Taipei Veterans General Hospital, Taiwan",OTHER_GOV,Pulmonary Hypertension (Diagnosis) | Pre-operative Assessment | Postoperative Complications (Cardiopulmonary) | Treatment Outcomes,1,Taiwan
NCT06258434,Liquid Biopsy Based Multiomics Study for Colorectal Cancer Early Screening,UNKNOWN,2024-02-10,2024-02-14,2024-09-10,OBSERVATIONAL,,1000,Sir Run Run Shaw Hospital,OTHER,Colorectal Cancer | Adenomatous Polyps | Adenoma | Advanced Adenoma,1,China
NCT03530098,Validation of an Artificial Intelligence-based Algorithm for Skeletal Age Assessment,COMPLETED,2018-07-12,2018-05-21,2019-08-31,INTERVENTIONAL,NA,1903,Stanford University,OTHER,Bone Age,6,United States
NCT07030998,Wearable Technology and Machine Learning for Early Detection and Risk Assessment of Unacceptable Toxicities in a Paediatric Oncology Cohort,RECRUITING,2025-10-15,2025-06-22,2027-12,OBSERVATIONAL,,150,Murdoch Childrens Research Institute,OTHER,Cancer | Infection | Digital Health | Wearable Devices,1,Australia
NCT05281939,Multi-center Application of an AI System for Diagnosis of Cervical Lesions Based on Colposcopy Images,UNKNOWN,2021-08-01,2022-03-16,2024-09-01,INTERVENTIONAL,NA,10000,Fujian Maternity and Child Health Hospital,OTHER,Artificial Intelligence | Colposcopy | Cervical Lesions | Image,5,China
NCT04958577,Clinic Waiting Room-based Study of Swahili Language Artificial Intelligence-driven Symptom Assessments in Tanzanian Primary Health Care Facilities,UNKNOWN,2021-08-03,2021-07-12,2022-06-01,OBSERVATIONAL,,109,Ada Health GmbH,INDUSTRY,Abdominal Pain/Gastrointestinal Issues | Lower Respiratory System Conditions | Upper Respiratory System Conditions | Mental Health Conditions | Ophthalmology Conditions | Orthopedic Conditions | Cardi,1,Tanzania
NCT07620119,Machine Learning for Diagnosis of Occlusive MI in LBBB Patients,RECRUITING,2026-06-01,2026-06-02,2027-01-31,OBSERVATIONAL,,50,Konya City Hospital,OTHER,Acute Myocardial Infarction (AMI) | Left Bundle Branch Block | Coronary Occlusion/Thrombosis | Chest Pain | Myocardial Infarction,1,Turkey (Türkiye)
NCT06754137,AI-Assisted Fracture Detection in Emergency Radiography,COMPLETED,2025-10-01,2024-12-31,2026-04-30,INTERVENTIONAL,NA,1667,Salzburger Landeskliniken,OTHER,Bone Fractures,3,Austria | Germany
NCT07386639,Sex-Specific Machine Learning Models to Predict Distant Metastasis in Liver Cancer,COMPLETED,2004-01-01,2026-02-04,2025-12,OBSERVATIONAL,,19019,Tongji University,OTHER,Hepatocellular Carcinoma | Liver Cancer | Neoplasm Metastasis,0,
NCT05767619,Digital Decision Support in the Management of Patients With Chest Pain,RECRUITING,2023-05-15,2023-03-14,2027-03,OBSERVATIONAL,,2000,Vastra Gotaland Region,OTHER_GOV,Chest Pain | Acute Coronary Syndrome | Chest--Diseases,3,Sweden
NCT07432165,Artificial Intelligence Versus Conventional Digital Design for Fixed Dental Prosthesis,RECRUITING,2025-06-15,2026-02-25,2026-06-17,INTERVENTIONAL,NA,1000,October University for Modern Sciences and Arts,OTHER,Accuracy of Artificial Intelligence in Fixed Dental Prosthesis Design,1,Egypt
NCT07092371,Smartphone Multimodal Health Intervention for Neurological Enhancement (SHINE),NOT_YET_RECRUITING,2025-08-01,2025-07-29,2029-07-01,INTERVENTIONAL,NA,1036,"Second Affiliated Hospital, Zhejiang University, School of Medicine",OTHER,Cognitive Impairment | Dementia | Artificial Intelligence (AI) | Stroke | Cognitive Decline,1,China
NCT05718999,XGBoost for Predict Incisional Hernia,UNKNOWN,2023-01-30,2023-02-08,2023-11-30,OBSERVATIONAL,,1000,Hospital Regional de Alta Especialidad del Bajio,OTHER,Incisional Hernia,1,Mexico
NCT04580095,Artificial Intelligence for Improved Echocardiography,COMPLETED,2020-09-29,2020-10-08,2021-06-30,INTERVENTIONAL,NA,88,Helse Nord-Trøndelag HF,OTHER,Heart Diseases,1,Norway
NCT06587100,Wearable Activity Tracking to Curb Hospitalizations,RECRUITING,2025-04-07,2024-09-19,2027-12-31,OBSERVATIONAL,,260,"University of California, San Francisco",OTHER,Hematopoietic Neoplasm | Malignant Solid Neoplasm | Lymphatic System Neoplasm,1,United States
NCT07187700,Developing Trustworthy Artificial Intelligence (AI)-Driven Tools to Predict Vascular Disease Risk and Progression: the Prospective VASCUL-AID Study,NOT_YET_RECRUITING,2025-09,2025-09-23,2030-12,OBSERVATIONAL,,1100,Amsterdam UMC,OTHER,Abdominal Aorta Aneurism | Peripheral Arterial Disease,0,
NCT07595107,Concordance Between Large Language Model and Multidisciplinary Team Recommendations in Rectal Cancer,NOT_YET_RECRUITING,2026-06-01,2026-05-19,2027-12-01,OBSERVATIONAL,,180,Shandong Cancer Hospital and Institute,OTHER,Rectal Cancer,1,China
NCT04138771,Validation of an Artificial Intelligence System for Postoperative Management of Cataract Patients,UNKNOWN,2013-01-01,2019-10-24,2020-03-01,INTERVENTIONAL,NA,300,Sun Yat-sen University,OTHER,Cataract | Postoperative Complications | Artificial Intelligence,1,China
NCT05214131,Randomized Study Of Novel Enuresis Alarm vs Standard Bedwetting Alarm,TERMINATED,2022-04-29,2022-01-28,2025-06-13,INTERVENTIONAL,NA,16,Yale University,OTHER,Bedwetting | Nocturnal Enuresis | Urinary Incontinence,1,United States
NCT05739331,Augmented Endobronchial Ultrasound (EBUS-TBNA) With Artificial Intelligence,RECRUITING,2023-05-01,2023-02-22,2027-12-01,OBSERVATIONAL,,50,Norwegian University of Science and Technology,OTHER,Artificial Intelligence | Endobronchial Ultrasound | Lung Cancer,2,Norway
NCT07305337,Randomised Controlled Trial of Artificial Intelligence-assisted Health Education,RECRUITING,2025-06-28,2025-12-26,2026-08-30,INTERVENTIONAL,NA,196,Zhongnan Hospital,OTHER,"Leukaemia | Multiple Myeloma (MM), Lymphoma, Large B-Cell, Diffuse (DLBCL), Lymphoma | Lymphoma",1,China
NCT05993377,Prediction of Duration of Mechanical Ventilation in ARDS,COMPLETED,2023-08-14,2023-08-15,2024-02-02,OBSERVATIONAL,,1303,Hospital Universitario de Gran Canaria Doctor Negrín,OTHER,Acute Respiratory Distress Syndrome,20,Spain | United Kingdom
NCT06431412,A Model for Drug Concentration Prediction of Vancomycin,UNKNOWN,2024-03-01,2024-05-28,2024-08-31,OBSERVATIONAL,,401,Peking Union Medical College Hospital,OTHER,Critical Illness | Infections | Drug Use,1,China
NCT04985981,The Prediction of Anastomotic Insufficiency Risk After Colorectal Surgery (PANIC) Study,SUSPENDED,2021-04-01,2021-08-02,2022-12-31,OBSERVATIONAL,,11000,"Michel Adamina, MD",OTHER,Anastomotic Leak | Colorectal Cancer | Diverticulosis | Crohn Disease | Ulcerative Colitis | Mesenteric Ischemia,2,Switzerland
NCT05350228,Accuracy of Artificial Intelligence in Evaluation of the Relationship Between Mandibular Third Molar and Mandibular Canal on CBCT,UNKNOWN,2022-05,2022-04-28,2023-12,OBSERVATIONAL,,50,Cairo University,OTHER,Artificial Intelligence,1,Egypt
NCT05885334,Caregivers Training Using Artificial Intelligence and Virtual Reality,COMPLETED,2024-01-15,2023-06-01,2025-07-09,INTERVENTIONAL,NA,168,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,OTHER,Medication Errors and Other Product Use Errors and Issues | Caring,1,Spain
NCT07121309,"With the Development of Research, New Algorithms and Technologies Have Emerged, One of Which is Machine Learning. Machine Learning Can Extract Key Factors From Vast Amounts of Data, Identify Underlying Patterns, and Predict Future Trends. In Recent Years, Machine Learning Has Been Widely Used in",COMPLETED,2024-10-17,2025-08-13,2025-03-03,OBSERVATIONAL,,901,Second Affiliated Hospital of Soochow University,OTHER,Delirium,1,China
NCT04268719,Near Focus NBI-Driven Artificial Intelligence for the Diagnosis of Gastro-Oesophageal Reflux Disease,COMPLETED,2017-11-23,2020-02-13,2018-11-30,OBSERVATIONAL,,76,King's College Hospital NHS Trust,OTHER,Gastro Esophageal Reflux,1,United Kingdom
NCT04270032,"Using Deep Learning Methods to Analyze Automated Breast Ultrasound and Hand-held Ultrasound Images, to Establish a Diagnosis, Therapy Assessment and Prognosis Prediction Model of Breast Cancer.",UNKNOWN,2020-02-01,2020-02-17,2024-09-01,OBSERVATIONAL,,10000,The First Affiliated Hospital of the Fourth Military Medical University,OTHER,Breast Cancer,1,China
NCT06635187,ORal-motor Assessment and Rehabilitation Mobile App (ORAR App),RECRUITING,2024-05-01,2024-10-10,2027-03-31,OBSERVATIONAL,,200,The Hong Kong Polytechnic University,OTHER,Stroke | Oral Motor Functions,1,Hong Kong
NCT07374016,Evaluation of a Training Recommendation Strategy for Trail Runners.,NOT_YET_RECRUITING,2026-03,2026-01-28,2027-12,INTERVENTIONAL,NA,1209,Centre Hospitalier Universitaire de Saint Etienne,OTHER,Endurance Training,1,France
NCT05692830,Towards a Wearable Alcohol Biosensor: Examining the Accuracy of BAC Estimates From New-Generation Transdermal Technology Using Large-Scale Human Testing and Machine Learning Algorithms,RECRUITING,2022-10-22,2023-01-20,2027-09-01,OBSERVATIONAL,,240,University of Illinois at Urbana-Champaign,OTHER,Alcohol Drinking | Alcohol Intoxication,1,United States
NCT07538492,Clinical Validation of an Artificial Intelligence-Based G-FAST Score in Patients With Stroke,NOT_YET_RECRUITING,2026-04-10,2026-04-20,2028-12-31,OBSERVATIONAL,,297,"Xuanwu Hospital, Beijing",OTHER,Stroke,0,
NCT04040114,Improving Skin Cancer Management With Artificial Intelligence (04.17 SMARTI),COMPLETED,2019-10-01,2019-07-31,2021-05-30,INTERVENTIONAL,NA,200,Melanoma and Skin Cancer Trials Limited,OTHER,Skin Cancer | Melanoma (Skin),2,Australia
NCT06860360,"Artificial Intelligence for the Analysis of Video Data of Facial Movement, with a Focus on Myasthenia Gravis",COMPLETED,2020-12-01,2025-03-06,2022-12-31,OBSERVATIONAL,,90,Leiden University Medical Center,OTHER,Myasthenia Gravis,1,Netherlands
NCT06089291,Persona IQ Cohort Study,ACTIVE_NOT_RECRUITING,2024-02-20,2023-10-18,2026-12,OBSERVATIONAL,,200,Zimmer Biomet,INDUSTRY,Osteo Arthritis Knee | Knee Arthritis | Monitoring Orthopedic Devices | Total Knee Arthroplasty | Total Knee Replacement,4,United States
NCT06392048,AI-Based LOS Prediction in Hip Fracture Patients,COMPLETED,2024-05-25,2024-04-30,2025-05-07,OBSERVATIONAL,,366,Kocaeli University,OTHER,Hip Fractures,1,Turkey (Türkiye)
NCT06887582,Crestal Sinus Lifting in Periodontally-Compromised Patients Utilizing Autologous Dentin Graft,COMPLETED,2025-03-21,2025-03-20,2026-07-10,INTERVENTIONAL,NA,44,Kafrelsheikh University,OTHER,Maxillary Sinus Disease | Alveolar Bone Loss,1,Egypt
NCT07087418,AI-Driven Multimodal Imaging Integration for Diagnosis and Prognostication of Digestive System Diseases,RECRUITING,2025-07-01,2025-07-28,2026-08-01,OBSERVATIONAL,,5000,"First Affiliated Hospital, Sun Yat-Sen University",OTHER,Digestive Diseases | Radiology | AI (Artificial Intelligence) | Imaging,1,China
NCT07066423,Effect of an AI Prediction Model of Facial Changes After Orthodontic Treatment of Patients With Bimaxillary Protrusion,ACTIVE_NOT_RECRUITING,2023-11-01,2025-07-15,2025-11-01,INTERVENTIONAL,NA,45,Mansoura University,OTHER,Bimaxillary Protrusion,1,Egypt
NCT07786376,AI in Histipathological Diagnosis of Bcc,NOT_YET_RECRUITING,2026-10-01,2026-08-26,2027-12-01,OBSERVATIONAL,,50,Al-Azhar University,OTHER,Basal Cell Cancer,1,Egypt
NCT04901130,Impact of Real-time Automatic Quality Control System on Colorectal Adenoma Detection,UNKNOWN,2021-05-27,2021-05-25,2022-01-31,INTERVENTIONAL,NA,1254,Shandong University,OTHER,Colonoscopy,6,China
NCT07406867,"Diagnostic Accuracy of Oral Images, OPGs, Biomarkers and Questionnaires vs. Clinical Assessment for Periodontal Disease (PostNCT07164573)",RECRUITING,2026-03-01,2026-02-12,2029-03-01,OBSERVATIONAL,,2000,Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,OTHER,Periodontal Disease | Gingivitis | Periodontitis,3,China | Italy | United Kingdom
NCT06910436,"Artificial Intelligence Based Timing, Infarct Size and Outcomes in Acute Coronary Occlusion Myocardial Infarction",RECRUITING,2024-04-01,2025-04-04,2026-07-31,OBSERVATIONAL,,1500,Azienda Ospedaliera di Bolzano,OTHER,Coronary Arterial Disease (CAD) | Acute Coronary Syndrome (ACS) Undergoing Percutaneous Coronary Intervention (PCI),1,Italy
NCT07217236,Proactive Risk Evaluation for Cardiac Implantable Electronic Device Strategy Using AI-ECG,RECRUITING,2025-11-01,2025-10-15,2026-10-31,INTERVENTIONAL,NA,11492,"National Defense Medical Center, Taiwan",OTHER,Artificial Intelligence (AI) | Cardiac Implantable Electrical Devices | Conduction Disorder of the Heart,1,Taiwan
NCT05410171,Machine Learning-based Early Clinical Warning of High-risk Patients,UNKNOWN,2022-06-01,2022-06-08,2023-12-01,INTERVENTIONAL,NA,1000,"Southeast University, China",OTHER,High-risk Patients | Risk Reduction | Machine Learning,1,China
NCT04923763,The Establishment of Tongue Examination Analysis From the Video Recording,UNKNOWN,2021-10-17,2021-06-11,2025-12-31,OBSERVATIONAL,,300,"China Medical University, Taiwan",OTHER,"Medicine, Chinese Traditional",1,Taiwan
NCT05829993,Development of an Artificial Intelligence Algorithm to Detect Pathological Repolarization Disorders on the ECG and the Risk of Ventricular Arrhythmias,RECRUITING,2023-11-28,2023-04-26,2027-06-28,OBSERVATIONAL,,5000,Assistance Publique - Hôpitaux de Paris,OTHER,Cardiac Disease | Ventricular Arrythmia,1,France
NCT07114484,Accuracy of AI in Detecting Bifid Mandibular Canal on CBCT: A Diagnostic Accuracy Study,COMPLETED,2025-05-06,2025-08-11,2025-10-20,OBSERVATIONAL,,117,Sara Reda Abdelhamid Aboseif,OTHER,Bifid Mandibular Canal,1,Egypt
NCT06888089,Deep Clinical Trajectory Modeling to Optimize Accrual to Cancer Clinical Trials,COMPLETED,2023-01-30,2025-03-21,2024-07-15,INTERVENTIONAL,NA,20707,Dana-Farber Cancer Institute,OTHER,Cancer,1,United States
NCT07549620,Vital Pulp Therapy Versus Root Canal Treatment for Irreversible Pulpitis With Incipient Apical Periodontitis Diagnosed Using Artificial Intelligence This Keeps: the Main Intervention (Vital Pulp Therapy) the Comparison (Root Canal Treatment) the Condition (Irreversible Pulpitis With Incipient Apic,ACTIVE_NOT_RECRUITING,2025-11-15,2026-04-24,2027-04-08,INTERVENTIONAL,NA,34,Ain Shams University,OTHER,Symptomatic Irreversible Pulpitis,1,Egypt
NCT06837428,Peer Comparison-based Risk Communication,COMPLETED,2023-08-21,2025-02-20,2024-08-29,INTERVENTIONAL,NA,40,SingHealth Polyclinics,OTHER,Diabetes Type 2,1,Singapore
NCT06059300,Digital Breast Tomosynthesis for the Dutch National Breast Cancer Screening Program,ACTIVE_NOT_RECRUITING,2023-07-17,2023-09-28,2028-07-01,INTERVENTIONAL,NA,18200,Radboud University Medical Center,OTHER,Breast Cancer Screening,1,Netherlands
NCT03826407,Development of a Point of Care System for Automated Coma Prognosis,UNKNOWN,2019-10-01,2019-02-01,2023-12,OBSERVATIONAL,,33,McMaster University,OTHER,Coma | Disorder of Consciousness | Minimally Conscious State | Vegetative State | Neuropathology,1,Canada
NCT06943911,Reflects the Intervention (AI Chatbot),NOT_YET_RECRUITING,2025-04-20,2025-04-25,2025-07-15,INTERVENTIONAL,NA,122,Mostafa Shaban,OTHER,Breast Cancer Early Stage Breast Cancer (Stage 1-3),1,Egypt
NCT07399652,Artificial Intelligence-Guided Detection of Blood Vessels to Enhance Safety in Third-Space Endoscopic Procedures,RECRUITING,2026-02-10,2026-02-10,2026-04-30,INTERVENTIONAL,NA,20,"Asian Institute of Gastroenterology, India",OTHER,Achalasia Cardia | Tumor,1,India
NCT06643715,"Research of the Application of Pancreatic Cancer Screening Artificial Intelligence Model ""PANDAPro""",ACTIVE_NOT_RECRUITING,2026-03-07,2024-10-16,2027-08-01,INTERVENTIONAL,NA,100000,Zhejiang University,OTHER,Pancreatic Cancer,1,China
NCT05056376,Effectiveness and Cost-Effectiveness of Fully-Automated Digital vs. Human Coach-Based Diabetes Prevention Programs,COMPLETED,2021-10-01,2021-09-24,2024-12-16,INTERVENTIONAL,NA,368,Johns Hopkins University,OTHER,"PreDiabetes | Hyperglycemia | Glucose, High Blood | Overweight | Prediabetic State | Impaired Glucose Tolerance | Obesity | Weight Loss | Lifestyle, Healthy | Lifestyle Risk Reduction | Lifestyle, Sed",2,United States
NCT06708910,AI-based pCR Assessment/Prediction in HER2-Positive BC Using PET/MRI,RECRUITING,2025-07-18,2024-11-27,2031-07,OBSERVATIONAL,,460,"Heinrich-Heine University, Duesseldorf",OTHER,HER2 Positive Breast Carcinoma,1,Germany
NCT06338462,Cali Sin Tos Aim 2,COMPLETED,2024-03-28,2024-03-29,2024-09-11,INTERVENTIONAL,NA,269,Yale University,OTHER,Tuberculosis,1,Colombia
NCT06044454,Radiograph Accelerated Detection and Identification of Cancer in the Lung,ACTIVE_NOT_RECRUITING,2023-12-04,2023-09-21,2025-11-30,OBSERVATIONAL,,60000,NHS Greater Glasgow and Clyde,OTHER,Lung Cancer,4,United Kingdom
NCT07294794,Personalised Pharmacometabolomic-guided Strategy Trial to Optimise Treatment for Hypertension,NOT_YET_RECRUITING,2026-01-19,2025-12-19,2026-12-31,INTERVENTIONAL,NA,400,University of Birmingham,OTHER,Hypertension,4,Germany | Netherlands | Spain | United Kingdom
NCT05374122,AI Guidance for Biopsy in Suspected Cholangiocarcinoma,UNKNOWN,2022-05-01,2022-05-16,2024-05-01,INTERVENTIONAL,NA,48,Instituto Ecuatoriano de Enfermedades Digestivas,OTHER,Neoplasms | Non-Neoplastic | Bile Duct Neoplasms | Bile Duct Lesions,1,Ecuador
NCT07592702,AI-Integrated 3D-Printed Videolaryngoscope for Orotracheal Intubation in Critically Ill Patients,NOT_YET_RECRUITING,2027-03-20,2026-05-18,2028-06,INTERVENTIONAL,NA,120,Federal University of Pelotas,OTHER,Orotracheal Intubation,4,Brazil
NCT05987670,Triple Cardiovascular Disease Detection With an Artificial Intelligence-enabled Stethoscope,UNKNOWN,2023-10-25,2023-08-14,2025-12-23,INTERVENTIONAL,NA,200,Imperial College London,OTHER,Heart Failure | Heart Valve Diseases | Atrial Fibrillation | Heart Murmurs | Congestive Heart Failure | Heart Failure With Reduced Ejection Fraction,1,United Kingdom
NCT07428941,Evaluating an Artificial Intelligence Tool to Help Primary Care Doctors Diagnose Skin Conditions.,COMPLETED,2024-06-04,2026-02-24,2024-09-13,OBSERVATIONAL,,9,AI Labs Group S.L,INDUSTRY,Skin Lesions | Melanocytic Nevi | Melanoma (Skin Cancer) | Basal Cell Carcinoma of Skin | Urticaria | Pustular Psoriasis | Actinic Keratoses | Plaque Psoriasis | Hidradenitis Suppurativa (HS),1,Spain
NCT07755020,Nitride-Based Raman Biochip for Lung Cancer Diagnosis and Monitoring,RECRUITING,2025-08-04,2026-08-10,2032-12-31,OBSERVATIONAL,,3000,Taichung Veterans General Hospital,OTHER,Lung Cancer (Diagnosis) | Lung Neoplasms,1,Taiwan
NCT04524624,An AI-Based CDSS for Integrated Management of Patients With Acute Ischemic Stroke(GOLDEN BRIDGE II),UNKNOWN,2020-09-01,2020-08-24,2023-06-30,INTERVENTIONAL,NA,21689,Beijing Tiantan Hospital,OTHER,Stroke,1,China
NCT01696162,"Conventional Home Exercise Programs Versus Electronic Home Exercise Versus Artificial Intelligence ""Virtual Therapy"" for Anterior Knee Pain",COMPLETED,2012-09,2012-09-28,2013-10,INTERVENTIONAL,NA,85,Simpletherapy,INDUSTRY,Patellofemoral Pain Syndrome,1,United States
NCT07761546,AIM-TEST: Microbiome-Targeted Nutrition for Functional Secondary Hypogonadism,ENROLLING_BY_INVITATION,2026-08-15,2026-08-12,2027-06-30,INTERVENTIONAL,NA,112,Varol TUNALI,INDUSTRY,"Hypogonadism, Male | Secondary Hypogonadism",1,Turkey (Türkiye)
NCT06540742,Multimodal Imaging Diagnosis and Decision Aid System for Hepatic Echinococcosis Based on Image Omics and Vision Macromodel,COMPLETED,2023-09-30,2024-08-06,2024-09-12,OBSERVATIONAL,,1000,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,OTHER,Hepatic Echinococcosis,1,China
NCT07803770,EUS-Based Artificial Intelligence to Predict Outcomes in Pancreatic Cancer,NOT_YET_RECRUITING,2026-10-31,2026-09-04,2028-12-31,OBSERVATIONAL,,700,IRCCS San Raffaele,OTHER,Pancreatic Neoplasms | Pancreatic Ductal Adenocarcinoma (PDAC) | Artificial Intelligence (AI) | Endoscopic Ultrasound (EUS) | Radiomics,1,Italy
